Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Segarra-Faggioni, Veronica",57190660638,14,"Computer Science
Social Sciences
Engineering
Arts and Humanities
Decision Sciences
Psychology
",0000-0002-7275-7411
"Jaramillo-Ponton, Mayra",57216853721,1,"Social Sciences
",
"Medina, Jhelisa",57193948570,1,"Agricultural and Biological Sciences
Engineering
Environmental Science
",
"Paladines, Belén",57210133503,1,"Multidisciplinary
",
"Idrobo, Alicia",57209607463,1,"Environmental Science
",
"Andrea, Velásquez B.",57147911000,1,"Computer Science
",
"Flores, Yetzabel",55841126800,1,"Physics and Astronomy
",
"Acosta-Quezada, Pablo Geovanny",36617091400,7,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Multidisciplinary
Chemistry
",
"Contreras, Mario A.",57208722387,2,"Business, Management and Accounting
Computer Science
Decision Sciences
",
"Andrade-González, Nathaly",57220088066,1,"Agricultural and Biological Sciences
Environmental Science
",
"Moncayo-Palacio, Eduardo A.",57219571853,1,"Biochemistry, Genetics and Molecular Biology
",
"Puertas-Bravo, Lucia",57205704896,3,"Social Sciences
Computer Science
",
"Quezada, Miguel Ángel Peñarreta",58001288600,1,"Social Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
",
"Guaman, A.",57192586202,2,"Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
",
"Chicaiza Espinosa, Janneth",56535509300,56,"Computer Science
Social Sciences
Engineering
Decision Sciences
Mathematics
Materials Science
",0000-0003-3439-3618
"Chango-Cañaveral, Patricia Marisol",57192103837,20,"Computer Science
Business, Management and Accounting
Decision Sciences
Engineering
",0000-0003-2336-0052
"Ortega, Josue",57226382649,2,"Engineering
Computer Science
",
"León, Patricio",57376237700,1,"Agricultural and Biological Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Social Sciences
",
"Espejo, Lupe",57190671720,2,"Computer Science
",
"Cumbicus, Silvia",57703767700,1,"Economics, Econometrics and Finance
Business, Management and Accounting
",
"Cumbicus Torres, Nixon L.",55387251900,20,"Agricultural and Biological Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Medicine
Earth and Planetary Sciences
Immunology and Microbiology
Chemical Engineering
Multidisciplinary
Social Sciences
",0000-0002-4880-6607
"Cisneros-Vidal, María Aranzazu",57274009400,1,"Environmental Science
Medicine
",
"Bonilla, Patricia",36023257800,11,"Medicine
Nursing
",
"Izquierdo, Leonardo",57200701910,1,"Economics, Econometrics and Finance
Social Sciences
",
"Cartuche, Claudia Paola",57207982332,3,"Computer Science
Engineering
",
"Toledo, Elisa",57188830084,13,"Environmental Science
Computer Science
Energy
Social Sciences
Engineering
Agricultural and Biological Sciences
Earth and Planetary Sciences
Economics, Econometrics and Finance
Business, Management and Accounting
",0000-0001-8379-4026
"Costa, María Belén Paladines",56984973200,1,"Social Sciences
",
"Castillo-Veintimilla, Paola",57193351652,2,"Pharmacology, Toxicology and Pharmaceutics
Chemistry
Medicine
",
"Ramírez Castillo, Pablo",57218137761,1,"Agricultural and Biological Sciences
",
"Luzuriaga Muñoz, Enrique D.",57203508931,1,"Social Sciences
Arts and Humanities
",
"Villa-Quezada, J. I.",57203806936,1,"Chemical Engineering
",0000-0003-4861-2308
"García-Espinosa, Juan Carlos",57209361336,1,"Engineering
",
"Montero, Marianne",57197165974,1,"Agricultural and Biological Sciences
Environmental Science
",
"Granda, Marco Vivanco",56340105000,1,"Computer Science
",
"Benítez, Lita",57205490019,2,"Agricultural and Biological Sciences
Chemistry
Environmental Science
",
"Mena Marcos, Juan José",57657355600,1,"Computer Science
",
"Abad, Marco",36668141600,8,"Computer Science
Social Sciences
Engineering
Mathematics
",
"Torres-Portugal, Carla",57987941500,1,"Engineering
Social Sciences
Computer Science
",
"Collaguazo, Milton",57447875200,1,"Environmental Science
",
"Conde-Rojas, Dayra",57225155406,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"German, Cevallos Meneses",57272549300,3,"Computer Science
",
"Jaramillo-Fierro, Ximena V.",55575639700,15,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
Medicine
Physics and Astronomy
Multidisciplinary
Computer Science
",
"Rivera-Rogel, Diana",56003677900,50,"Computer Science
Social Sciences
Environmental Science
Arts and Humanities
Engineering
Energy
Decision Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
Mathematics
Medicine
Psychology
",0000-0001-8965-0170
"Riofrio-Leiva, Vicente",57376943900,2,"Mathematics
Computer Science
Multidisciplinary
",0000-0003-0291-1273
"González, Salomé",57426079900,1,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
",
"Villacis-Villa, Diana",57194330258,1,"Biochemistry, Genetics and Molecular Biology
",
"Guachizaca, I.",55786570900,1,"Agricultural and Biological Sciences
",
"Carrión-Coronel, Eduardo",57555894800,1,"Agricultural and Biological Sciences
Environmental Science
Social Sciences
Biochemistry, Genetics and Molecular Biology
",
"González-Granda, Patricia Verónica",57192422030,2,"Medicine
Arts and Humanities
Health Professions
Social Sciences
",
"Fernandez, Juan",57202974705,1,"Computer Science
",
"Ramírez, Jorge",57198431555,28,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Medicine
Chemical Engineering
Veterinary
",0000-0002-8839-7457
"Jaramillo, María Paula",57222704943,3,"Computer Science
Engineering
Social Sciences
",
"Yunga, Juan Carlos Morocho",57192425541,1,"Arts and Humanities
Social Sciences
",
"Maldonado, Samanta",57219798920,2,"Medicine
",
"Abendaño Ramírez, Mónica Elizabeth",57195417893,4,"Computer Science
Social Sciences
",0000-0001-9549-8996
"Valarezo, Darío",57212373515,3,"Computer Science
Mathematics
Engineering
",0000-0001-6962-2017
"Orellana, Maria Isabel Ramirez",57193434807,2,"Medicine
Biochemistry, Genetics and Molecular Biology
",
"Andrade, Lucy D.",57209109317,1,"Computer Science
",
"Ortiz-León, Carlos",55659817900,18,"Computer Science
Engineering
Social Sciences
Economics, Econometrics and Finance
Agricultural and Biological Sciences
Mathematics
Decision Sciences
",0000-0001-9467-9816
"González, Yadira",55317167900,6,"Agricultural and Biological Sciences
Environmental Science
Decision Sciences
",
"Morales, Germania Rodríguez",58160874900,1,"Computer Science
Decision Sciences
",
"Garrochamba, Kleber",57947669900,1,"Agricultural and Biological Sciences
Medicine
Nursing
",0000-0001-6791-3670
"Quezada-Ruiz, Leidy D.",57581369300,1,"Psychology
",
"Ruque, Henry Martínez",57192437527,3,"Arts and Humanities
Social Sciences
Computer Science
",
"Oñate-Paladines, Arianna",57216881260,5,"Environmental Science
Earth and Planetary Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Engineering
",
"Mora, María Eugenia Enríquez",57817866500,1,"Computer Science
",
"Santiago, Ríos Ramírez",57817327500,1,"Computer Science
",
"Maza-Jiménez, Ligia Elena",57220105223,3,"Computer Science
Mathematics
",
"Jaramillo, Johanna E.",57200048811,1,"Physics and Astronomy
Materials Science
Mathematics
Engineering
Computer Science
",
"Ximena, Songor Jaramillo",57210260890,5,"Computer Science
Energy
Environmental Science
Social Sciences
",
"Malo, Paola L.",57291600800,3,"Computer Science
Decision Sciences
",
"García-Vélez, Diego F.",57204704321,11,"Business, Management and Accounting
Social Sciences
Economics, Econometrics and Finance
Environmental Science
Decision Sciences
Computer Science
Energy
Medicine
Psychology
",0000-0003-2481-0027
"Villalta, Gabriela",57224311750,1,"Agricultural and Biological Sciences
Environmental Science
",
"Minga-Vallejo, Ruth Elizabeth",57192803433,3,"Computer Science
Social Sciences
",
"Arias, Lisseth Estefanía Carrión",57218596888,1,"Medicine
",
"Juliana, Muñoz Macías Noris Beatriz",57431372600,1,"Social Sciences
",
"Jumbo-Flores, Diana",57909082900,1,"Medicine
Immunology and Microbiology
",
"Fierro-Jaramillo, Natacha Del Cisne",57113750000,9,"Agricultural and Biological Sciences
Veterinary
Social Sciences
Economics, Econometrics and Finance
",
"Maldonado-Vivanco, Juan Carlos",57207767989,8,"Computer Science
Engineering
Social Sciences
Agricultural and Biological Sciences
",0000-0002-3841-8109
"Ontaneda, Jorge",56100157300,9,"Materials Science
Chemistry
Physics and Astronomy
Energy
Chemical Engineering
",0000-0003-1538-365X
"Loaiza, Eduardo V.",57220055910,1,"Computer Science
",
"Balladarez, Katherine",57195319085,1,"Computer Science
",
"Minga, Jessica",57195405447,1,"Computer Science
Decision Sciences
",
"Pazmiño, Linda F.",35769755000,1,"Agricultural and Biological Sciences
",
"Calva Morquecho, Nathaly Maribel",57288119600,1,"Social Sciences
Arts and Humanities
Medicine
",
"Guamán Guadalima, Mónica Paola",57201270853,1,"Engineering
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Environmental Science
",
"Hurtado, Diana Guamán",57205605796,1,"Computer Science
",
"León, Evelyn A.",57327686600,1,"Computer Science
",
"Ríos-Gónzalez, Pedro J.",57224077037,1,"Multidisciplinary
",
"José, Calderón G.",57147283700,1,"Computer Science
",
"Maza-Criollo, Diana",57219717951,1,"Environmental Science
Earth and Planetary Sciences
",
"Pacheco, Lizbeth",57210263951,1,"Computer Science
",
"Tacuri, Andrés",58061434300,1,"Computer Science
Arts and Humanities
",
"Quichimbo, Pricila",57197825259,1,"Computer Science
",
"Montaño-Blacio, Manuel",57220806510,2,"Computer Science
Engineering
",
"Diego Dominguez, G.",57561779800,1,"Multidisciplinary
",
"del Cisne Encalada-Jumbo, Diana",57074774800,1,"Environmental Science
Earth and Planetary Sciences
",0000-0001-6462-1277
"Mora-Regalado, María José",57212002043,2,"Computer Science
Mathematics
Engineering
",
"Rojas-Rodríguez, Ana Lizette",57853754500,1,"Agricultural and Biological Sciences
Nursing
",
"Aguirre-Maldonado, Eduardo",57222587457,5,"Social Sciences
Engineering
Materials Science
Physics and Astronomy
Environmental Science
",0000-0002-7911-008X
"Ernesto Jaramillo, Z.",57346098000,1,"Computer Science
Decision Sciences
Mathematics
",
"Granda Ordoñez, Ulvio Leonel",57204035084,1,"Social Sciences
Engineering
",
"Palacios, Claudio",57195407636,1,"Computer Science
Decision Sciences
",
"Ulloa-Jaramillo, Andres",57817192600,1,"Computer Science
",
"Hernández, Karol",57681388600,1,"Physics and Astronomy
Materials Science
",
"Tandazo, Oswaldo",57215588042,1,"Biochemistry, Genetics and Molecular Biology
Medicine
",
"Guaycha, Mayra",57219657697,1,"Computer Science
",
"Tene, Talía",57188827909,24,"Materials Science
Physics and Astronomy
Chemical Engineering
Chemistry
Engineering
Multidisciplinary
Computer Science
",0000-0002-8588-6490
"Brito, Karen G.",57327830000,1,"Computer Science
",
"Gonzalez, Juan Guillermo Pinzon",57223591257,1,"Engineering
Computer Science
",0000-0002-7842-8379
"Cueva, Diego Fernando",57190671956,4,"Computer Science
Social Sciences
Energy
Environmental Science
Engineering
Mathematics
",
"Briceño, Joahana",57191525873,2,"Environmental Science
Agricultural and Biological Sciences
",
"Wilman-Santiago, Ochoa Moreno",57218388342,5,"Computer Science
",
"Vargas, Lucy Deyanira Andrade",57266195600,1,"Computer Science
Social Sciences
",
"Cardenas, Charlie",57215505920,1,"Computer Science
",
"Briceño, Tamara",36902620200,1,"Physics and Astronomy
Engineering
Materials Science
",
"García, Jessica",57200256916,2,"Agricultural and Biological Sciences
Chemistry
Environmental Science
",
"Torres, Patricio",57889181500,2,"Engineering
Mathematics
Computer Science
Social Sciences
",
"Torres, Edisson",57205196666,1,"Computer Science
",
"Carrion, Gianella",57190668758,1,"Computer Science
",0000-0001-8541-1690
"Amaya, Diana",57817464200,1,"Computer Science
",
"Daniela, Banegas Ochoa",57274009200,1,"Computer Science
",
"Gómez, Jefferson",57190800187,1,"Engineering
Computer Science
",
"Gonzales, Mayra",57188562537,5,"Computer Science
Social Sciences
Engineering
Arts and Humanities
",0000-0001-8372-7974
"Moreno, Santiago",57202943273,1,"Computer Science
",
"Granda, Luis",57215926778,1,"Mathematics
Computer Science
",
"Gordillo, Fernando",57211883470,1,"Chemistry
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Altamirano-Benítez, María Fabiana",57220749454,2,"Social Sciences
Arts and Humanities
Computer Science
Decision Sciences
",
"Armijos-González, Rosa",57191523402,2,"Agricultural and Biological Sciences
",
"Quinones, Ana",57217234136,1,"Social Sciences
",
"Cabrera Toledo, Jonathan A.",57976640100,1,"Computer Science
Mathematics
Engineering
Energy
",
"Coronel, Edgar",57221936881,1,"Agricultural and Biological Sciences
Environmental Science
",
"Campoverde, Eduardo",57190139284,1,"Engineering
Physics and Astronomy
",
"Verdugo, Verónica",57724744600,1,"Agricultural and Biological Sciences
Environmental Science
",
"Rey-Mendoza, Israel Leonardo",57202499321,1,"Computer Science
",
"Ortega-Jiménez, David",57222364299,1,"Environmental Science
Medicine
",
"Córdova Camacho, Jhoana Raquel",56709646100,8,"Computer Science
Business, Management and Accounting
Arts and Humanities
Decision Sciences
Social Sciences
",0000-0002-5098-0145
"Quinoñes, Luis",56890960100,1,"Computer Science
Social Sciences
",
"Jaramillo, Diana",57750803400,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Banegas, Diana",55659404500,1,"Social Sciences
",
"Camacho, Jhulissa",57871521500,1,"Physics and Astronomy
Materials Science
",
"Karla, Mora Mendieta",57202946533,4,"Computer Science
",
"Jiménez Rey, Janeth Fernanda",57212006897,2,"Social Sciences
Computer Science
",
"Torres, Luis Pazmino",57262993800,1,"Computer Science
Decision Sciences
",
"Gutierrez, Juan Pablo",57203427872,1,"Computer Science
",
"Jaramillo, Leonardo",57207048805,1,"Physics and Astronomy
Energy
Engineering
Mathematics
Computer Science
",
"Calva, James",57196479991,30,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Medicine
Veterinary
Social Sciences
",0000-0003-0608-8990
"Punin, G.",57193615523,1,"Engineering
Computer Science
",
"Cartuche, Patricio",57431371300,1,"Agricultural and Biological Sciences
Environmental Science
",
"Galán, Kathia",57215589114,1,"Biochemistry, Genetics and Molecular Biology
Medicine
",
"Chamba-González, Viviana",57817600400,1,"Computer Science
",
"Tapia Astudillo, Camila",57875666100,1,"Computer Science
Social Sciences
",
"Riofrio-Loaiza, Lizbeth",57720140800,1,"Medicine
",
"Cevallos Solórzano, Stefania",57287220800,1,"Social Sciences
Arts and Humanities
Medicine
",
"Alvarado, Stephany Celly",56469081600,1,"Social Sciences
",
"Vaca-Merino, Víctor",57221871750,4,"Medicine
",0009-0009-2459-859X
"Villacís, Javier",57115464600,2,"Pharmacology, Toxicology and Pharmaceutics
Chemistry
",
"Encarnacion, Xavier",57216917452,1,"Mathematics
",
"Calderon, Victor",57202941070,1,"Computer Science
",
"Loján-Córdova, Julia",57562609500,2,"Agricultural and Biological Sciences
Environmental Science
",
"Porras, Martha",57861295000,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Unaucho-Pilalumbo, Martha",57891094500,1,"Medicine
Neuroscience
",
"Moncayo Vega, Alexandra",58163003700,1,"Social Sciences
Earth and Planetary Sciences
",
"Galo, Guamán",57356191900,1,"Earth and Planetary Sciences
Physics and Astronomy
Environmental Science
Engineering
Mathematics
Chemistry
",
"Bautista-Valarezo, Estefanía",57201585292,12,"Computer Science
Medicine
Environmental Science
Engineering
Mathematics
Decision Sciences
Arts and Humanities
Nursing
Health Professions
Social Sciences
Agricultural and Biological Sciences
",0000-0002-6012-3403
"Sarango-Granda, Paulo",57220994500,2,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",0000-0001-9178-635X
"Córdova Rodríguez, Ana",57194782772,1,"Medicine
",
"Piedra, N.",57197836159,84,"Computer Science
Social Sciences
Engineering
Decision Sciences
Mathematics
Energy
Medicine
",0000-0003-1067-8707
"Torres-Carrión, Pablo V.",56495447800,51,"Computer Science
Mathematics
Engineering
Social Sciences
Decision Sciences
Physics and Astronomy
Medicine
Psychology
Biochemistry, Genetics and Molecular Biology
Chemistry
",0000-0002-7606-0582
"Arnelas, I.",37060297500,20,"Agricultural and Biological Sciences
Environmental Science
Social Sciences
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Decision Sciences
",0000-0003-0700-8964
"Vivanco-Rios, Leidy",57216856042,1,"Social Sciences
",
"Torres, Juan Carlos",57195275097,1,"Mathematics
Computer Science
",
"Yaguache-Quichimbo, Jenny Jovita",55659137100,11,"Social Sciences
Computer Science
Engineering
Arts and Humanities
Economics, Econometrics and Finance
Mathematics
Decision Sciences
",
"Aguilera-Sarmiento, Richard",57225946876,1,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Chamorro, William",57200891107,5,"Agricultural and Biological Sciences
Environmental Science
",
"Montaño, Luis",57223981862,2,"Computer Science
Energy
Earth and Planetary Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Social Sciences
Agricultural and Biological Sciences
",
"Chamba, Yesenia M.",57199864814,2,"Engineering
Environmental Science
",
"Morocho, Ramiro",57208531634,3,"Agricultural and Biological Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Social Sciences
",
"Maldonado-Riofrío, Diana",57213606770,1,"Environmental Science
",
"Pereira-Sarmiento, Jenny",57210257061,1,"Computer Science
",
"Novillo, Max",57203958270,1,"Business, Management and Accounting
Decision Sciences
",
"Vasquez, Junior",57194973683,1,"Computer Science
",
"Jaramillo-Riofrío, Andrea",57193212109,2,"Medicine
Agricultural and Biological Sciences
",0000-0001-8329-7732
"Aguirre Montano, Hermel Santiago",57222705615,1,"Engineering
Social Sciences
Computer Science
",
"Zuniga, Alexandra",57195319293,4,"Computer Science
Social Sciences
",0000-0001-8834-8332
"Palaguachi, Juan",57220130372,2,"Energy
Environmental Science
Social Sciences
",
"Jaramillo, Jorge Luis",57219774911,3,"Computer Science
Mathematics
Engineering
Energy
",
"Mier-Sanmartín, Catalina",55659551200,12,"Computer Science
Social Sciences
Engineering
Decision Sciences
Economics, Econometrics and Finance
Mathematics
",0000-0002-4868-7142
"Malo, Zulema",57190674187,3,"Computer Science
Social Sciences
Environmental Science
",0000-0001-9072-8369
"Pupiales-Chuquin, Sonia Azucena",57278451500,1,"Computer Science
Engineering
",
"Luzuriaga-Jiménez, Jecenia",57215926987,1,"Mathematics
Computer Science
",
"Rencoret, Nathaly",56010607300,1,"Social Sciences
",
"Loaiza-Lima, Eduardo",57291380700,2,"Computer Science
Decision Sciences
",
"España, M. E. S.",36550100200,1,"Computer Science
",0000-0002-9334-8625
"Ramírez, Marina R.",57206030647,4,"Environmental Science
Medicine
Psychology
",
"Campoverde, Jorge",57201320033,1,"Computer Science
",
"Neira, Rolando",57215055687,1,"Computer Science
",
"Martínez, Alison",56010907700,1,"Social Sciences
",
"Armijos-Ojeda, Diego",35502919500,14,"Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
",0000-0003-3685-7631
"García-Ramírez, Yasmany",57211524440,15,"Engineering
Computer Science
Social Sciences
Earth and Planetary Sciences
Arts and Humanities
Mathematics
Business, Management and Accounting
Environmental Science
Decision Sciences
Physics and Astronomy
Chemistry
",0000-0002-0250-5155
"Pereira, Gerardo Torres",57218387056,4,"Computer Science
",
"Silva, Ronald",57225746334,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Maza-Merchán, Cristian",58095780200,2,"Engineering
Computer Science
Mathematics
",
"Romero, Cynthia S.Valladares",57985027300,1,"Agricultural and Biological Sciences
",
"Vullien, Antoine",57225151479,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Medina, Jefferson",57207684738,3,"Agricultural and Biological Sciences
Environmental Science
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
",
"Moreira-Palacios, Máximo",57216629198,1,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Cuenca, Santiago Quinones",57222705623,1,"Engineering
Computer Science
Social Sciences
",
"Rosa, Janeth Simaluiza M.",57218247216,1,"Agricultural and Biological Sciences
Veterinary
",
"Torres Sánchez, Ximena",57191901849,2,"Social Sciences
Arts and Humanities
",0000-0003-4867-7742
"Jaramillo-Uday, Luis",57614040600,1,"Computer Science
",
"Burneo-Valdivieso, Xavier Eduardo",57215420715,1,"Engineering
Materials Science
",
"Ramon, Jamil",57245364400,1,"Computer Science
Engineering
Mathematics
Medicine
",
"Marcelo, Juca Aulestia José",57817332000,1,"Computer Science
",0000-0003-3982-8721
"Sigüenza Campoverde, Wilson Guillermo",57194786472,5,"Business, Management and Accounting
Medicine
Decision Sciences
Engineering
Computer Science
",0000-0003-1089-7109
"Pinzon-Gonzalez, Juan Guillermo",57337166100,1,"Computer Science
Engineering
",
"Castillo, Jessica M.",57210371564,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemistry
",
"Moreira Ortega, Rodica Nathali",56040786900,2,"Arts and Humanities
Social Sciences
",
"Carrión-Martínez, Marlon Agustín",57215545509,3,"Computer Science
Social Sciences
",
"Galván, Oscar Vivanco",57215051673,2,"Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Reyes, Renato",57205674759,2,"Engineering
Computer Science
Social Sciences
Mathematics
Decision Sciences
",
"Reátegui, Ruth",57163508000,27,"Computer Science
Mathematics
Medicine
Engineering
Decision Sciences
Social Sciences
Health Professions
",0000-0002-7304-4413
"Baez, Ruben",57201503696,1,"Engineering
Computer Science
",
"Jaramillo, Stalin P.",57201442405,1,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Espinosa, Sandra",57211541584,3,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Environmental Science
",
"Reyes, Fernando",57190670800,1,"Computer Science
",
"Solano, René Elizalde",57192424859,2,"Social Sciences
Engineering
Arts and Humanities
Computer Science
",
"Jacinto, Riofrio Leiva Vicente",57273040000,1,"Computer Science
",
"Alvarado Vélez, Julio A.",57202640592,5,"Social Sciences
Business, Management and Accounting
Earth and Planetary Sciences
Economics, Econometrics and Finance
Environmental Science
Decision Sciences
",
"Rodríguez Torres, María José",58104583400,1,"Social Sciences
Engineering
",
"Velepucha-Iniguez, Josselyn",57893224300,1,"Medicine
Nursing
",
"Barrazueta Paccha, Robinson Adrian",57976766800,1,"Computer Science
Mathematics
Engineering
Energy
",
"Fierro, Jorge",57474037500,1,"Engineering
",
"Rodríguez-Hidalgo, Claudia",57214943708,12,"Computer Science
Social Sciences
Environmental Science
Engineering
Medicine
Decision Sciences
",0000-0003-4004-9389
"Celi-Toledo, Israel Patricio",57211777418,1,"Social Sciences
",
"Cabrera, Freddy Santiago",57195315103,1,"Computer Science
",
"Benavides-Muñoz, Holger M.",55039626700,6,"Environmental Science
Energy
Social Sciences
Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Decision Sciences
Computer Science
",
"Fernández-Arias, José M.",57226727202,1,"Biochemistry, Genetics and Molecular Biology
",
"Jaramillo, Natacha Del Cisne Fierro",57218190372,1,"Agricultural and Biological Sciences
",
"Moreira-Aguirre, Diana Gabriela",57193393670,4,"Computer Science
Decision Sciences
Business, Management and Accounting
Social Sciences
Engineering
Economics, Econometrics and Finance
Mathematics
",
"Luis, Granda",57202946735,1,"Computer Science
",
"Arteaga, Myriam",57211481070,1,"Computer Science
",
"Arévalo-Jaramillo, Ana Paulina",57542207600,1,"Pharmacology, Toxicology and Pharmaceutics
Environmental Science
",
"Medina-Rodríguez, Daniel F.",57223197481,1,"Engineering
",
"Ríos Ramírez, Santiago",57875547900,1,"Computer Science
Social Sciences
",
"Beltran-Valdivieso, J. F.",57234470300,1,"Computer Science
Mathematics
Medicine
Decision Sciences
",
"Cahen, Paul M.",56494631500,1,"Business, Management and Accounting
Decision Sciences
",
"Celly-Alvarado, Stephany Alejandra",57215492101,1,"Computer Science
",
"Sarmiento-Guerrero, Christian",57200381661,1,"Engineering
Computer Science
",
"Gómez, Ángel Alexander Higuerey",57638599100,5,"Arts and Humanities
Computer Science
Materials Science
Engineering
Physics and Astronomy
Chemistry
",
"Muñoz, Andrés",57222621367,1,"Agricultural and Biological Sciences
",
"Ramón-Vivanco, Claudia",57211032762,1,"Agricultural and Biological Sciences
Earth and Planetary Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
",
"Fernández-Álvarez, Nicolás",58061174100,1,"Computer Science
Arts and Humanities
",
"Viteri, Mónica Jacqueline Saraguro",57208753114,1,"Environmental Science
Social Sciences
",
"Guerrero, Alisson",58045219900,1,"Agricultural and Biological Sciences
Environmental Science
",
"Bravo, Alvaro Gabriel Benítez",57226818217,1,"Physics and Astronomy
",
"Salinas-Lliviganay, Dayana",57202945634,1,"Computer Science
",
"Loaiza, María Isabel",57659804800,2,"Computer Science
Social Sciences
",
"Palacios-Estrada, Michelle",57203041146,1,"Mathematics
",
"Campoverde-Romero, Anndy",57195331808,1,"Computer Science
",
"Neyra-Romero, Lisset A.",57205365396,5,"Computer Science
Mathematics
Decision Sciences
Engineering
",
"Carrión, Gabriela Sánchez",57219323882,2,"Social Sciences
Arts and Humanities
Computer Science
",
"Ordóñez, Jenny",57220507391,2,"Environmental Science
Agricultural and Biological Sciences
Energy
Social Sciences
",
"Rivera, G.",57315103000,1,"Environmental Science
Agricultural and Biological Sciences
",
"Tinitana-Imaicela, Fani",56509572000,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
",
"Benítez, Segundo",56106251000,1,"Business, Management and Accounting
Decision Sciences
",
"Cabrera-Solano, Paola",57214727571,22,"Social Sciences
Computer Science
Arts and Humanities
Engineering
Business, Management and Accounting
Economics, Econometrics and Finance
Decision Sciences
",0000-0003-3298-6671
"Plascencia, Alexander",57218385249,1,"Computer Science
",
"Cruz, Darío",36155245400,12,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Multidisciplinary
Chemical Engineering
Chemistry
",
"Paladines, Luis",57889205500,2,"Engineering
Mathematics
Computer Science
Social Sciences
",
"Valdes, Isabel María Robles",58061287100,1,"Computer Science
Arts and Humanities
",
"Ortiz-Guamán, Nadia V.",57224172814,1,"Chemistry
",
"Benitez-Correa, Carmen",57195313370,6,"Social Sciences
Computer Science
Arts and Humanities
",
"Augusta, Cueva A.",56386151400,2,"Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Altamirano-Benítez, Verónica Paulina",56891487500,25,"Computer Science
Social Sciences
Arts and Humanities
Engineering
Decision Sciences
Economics, Econometrics and Finance
Mathematics
",0000-0003-1238-1886
"Patricio, Abad",57202382108,1,"Engineering
Social Sciences
Decision Sciences
",
"González, María José",57192422411,4,"Computer Science
Social Sciences
Arts and Humanities
",
"Granda, César W.",57200038844,2,"Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
",
"Juca-Aulestia, J. M.",57982283100,1,"Mathematics
Computer Science
",
